Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R18,R19,R20,Tot
"Atkins, Tom",10,20,14,17,23,24,18,21,19,23,16,15,23,18,21,17,18,22,339
"Bews, Jed",,,,,,,,,17,13,11,,,,,,,,41
"Blicavs, Mark",12,16,12,,8,15,14,9,20,16,11,8,20,17,10,11,22,15,236
"Bowes, Jack",9,10,19,18,18,12,17,19,15,5,,,,,,15,12,7,176
"Cameron, Jeremy",15,16,8,22,15,14,14,11,15,16,14,14,6,14,8,19,5,14,240
"Clark, Jhye",5,14,12,,,,10,12,3,,,,,,,,,,56
"Clohesy, Ted",,16,13,9,5,6,,,1,,2,4,15,,,,,,71
"Close, Brad",15,7,10,18,14,9,10,18,7,15,8,13,17,12,9,14,14,14,224
"Dangerfield, Patrick",12,18,16,20,16,15,13,29,12,3,,,7,11,15,13,7,19,226
"De Koning, Sam",25,16,16,18,14,12,16,14,21,10,12,12,13,7,,,,11,217
"Dempsey, Oliver",15,12,11,26,21,19,11,14,19,24,15,14,14,17,10,18,18,25,303
"Duncan, Mitch",,,,,,,,20,21,15,11,19,17,6,7,-,,,116
"Guthrie, Zach",21,21,18,30,18,13,21,16,13,21,17,13,16,20,8,25,17,16,324
"Henry, Jack",24,15,12,10,,,,,,7,9,9,18,8,12,14,14,16,168
"Henry, Oliver",9,9,9,9,9,6,2,6,7,12,9,6,,,10,10,4,,117
"Holmes, Max",24,19,29,17,32,20,20,21,30,22,33,27,40,36,23,36,17,32,478
"Humphries, Lawson",23,22,18,23,19,16,21,13,,19,19,12,15,19,15,13,13,15,295
"Knevitt, Mitch",21,16,4,,13,7,,,,,,,,,,,,,61
"Mannagh, Shaun",,,,18,13,17,26,18,15,21,21,18,23,14,10,20,15,24,273
"Martin, Jack",,,,,,,,,,,,,12,15,21,25,14,11,98
"Miers, Gryan",14,20,22,26,21,11,,,23,27,23,26,26,25,15,29,22,26,356
"Mullin, Oisin",6,7,15,16,8,,8,9,8,8,10,9,8,13,10,10,12,10,167
"Neale, Shannon",9,5,5,7,5,8,4,8,8,11,16,8,3,13,10,14,7,7,148
"OConnor, Mark",13,16,12,16,15,8,16,11,11,28,17,15,21,22,8,15,9,8,261
"OSullivan, Connor",11,15,10,23,15,9,17,10,12,5,,20,12,13,16,10,18,12,228
"Smith, Bailey",32,,25,28,35,28,29,34,35,30,33,38,,41,28,,26,23,465
"Stanley, Rhys",,,,11,12,9,14,2,,,13,9,10,11,11,21,6,8,137
"Stengle, Tyson",12,9,10,6,7,17,8,12,13,12,15,18,11,17,15,,,12,194
"Stevens, George",,,,,,,,,,,,,,,,21,7,,28
"Stewart, Tom",23,2,,24,,15,13,,,,21,18,23,23,22,17,29,12,242
"Wiltshire, Oliver",,,,,,,6,7,,,,,,,,,,,13
